Bulan,Sumur_01_Parkiran_IPA,Sumur_02_Gas_Chlor,Sumur_03_Terminal_Tangki,Sumur_04_Bukit_Cinta,Sumur_05_Penggalang,Sumur_06_Gang_Mufakat
2015-01,,60.192,62.784,26.964,83.88,65.34
2015-02,,63.6,64.03,26.61,69.5,66.47
2015-03,,64.43,65.22,24.72,78.95,62.81
2015-04,,62.85,64.99,24.13,78.15,64.03
2015-05,,59.0,60.63,24.79,79.58,60.86
2015-06,,60.13,60.25,24.77,79.52,58.85
2015-07,,60.18,62.9,25.1,80.98,63.06
2015-08,,59.5,60.15,26.5,78.49,62.06
2015-09,,58.58,59.38,28.09,76.41,62.16
2015-10,,59.38,76.0,27.12,76.15,55.17
2015-11,,58.12,76.33,26.88,76.07,55.11
2015-12,,59.22,75.98,27.82,77.25,54.1
2016-01,,59.16,68.91,26.9,77.55,58.61
2016-02,,58.99,77.9,27.75,76.8,56.69
2016-03,,58.58,75.89,28.09,76.41,58.39
2016-04,,59.02,75.31,26.39,78.5,55.13
2016-05,,58.12,76.33,25.31,76.07,55.11
2016-06,,57.71,77.02,26.11,75.57,54.44
2016-07,,55.24,77.83,27.1,76.03,58.8
2016-08,,58.99,77.9,27.75,76.8,56.69
2016-09,,58.58,75.89,28.09,76.41,58.39
2016-10,,59.02,75.31,26.39,78.5,55.13
2016-11,,62.12,70.31,23.3,77.5,65.87
2016-12,,59.68,53.05,29.56,88.29,66.57
2017-01,,60.25,55.24,28.44,90.14,65.79
2017-02,,59.6,57.25,27.3,94.32,67.44
2017-03,,60.21,58.71,28.44,98.65,69.32
2017-04,,57.4,55.22,28.56,95.51,70.14
2017-05,,54.26,49.78,26.77,79.69,66.28
2017-06,,56.7,52.48,27.12,83.64,0.0
2017-07,,55.6,49.74,24.96,85.22,0.0
2017-08,,52.21,51.28,27.58,65.23,0.0
2017-09,,50.26,49.65,26.51,63.25,0.0
2017-10,,48.71,45.55,30.52,67.57,0.0
2017-11,,58.73,46.0,30.7,69.16,0.0
2017-12,,58.85,43.39,31.01,72.37,0.0
2018-01,,50.24,46.21,26.84,70.47,
2018-02,,58.46,48.5,24.12,75.63,
2018-03,,61.09,43.12,24.5,77.85,
2018-04,,61.57,42.77,31.05,80.45,
2018-05,,61.2,44.24,29.64,87.59,
2018-06,,62.25,44.77,30.78,84.58,33.59
2018-07,,61.86,46.21,28.32,85.0,34.62
2018-08,,60.24,44.52,27.41,86.96,25.21
2018-09,,61.09,43.12,24.5,77.85,
2018-10,,60.12,42.77,26.27,80.76,26.03
2018-11,,60.11,42.9,27.08,80.11,25.34
2018-12,,61.25,41.39,29.57,83.85,31.77
2019-01,,60.0,41.0,30.0,83.0,31.0
2019-02,,60.0,41.0,30.0,83.89,32.35
2019-03,,60.0,41.0,30.0,83.89,31.02
2019-04,,60.0,,30.0,80.11,31.0
2019-05,,60.0,,30.0,83.0,31.0
2019-06,,60.0,,30.0,83.0,31.0
2019-07,,60.0,41.04,30.02,83.09,31.0
2019-08,,60.23,41.0,30.0,83.01,31.0
2019-09,,60.0,41.0,30.0,83.0,31.0
2019-10,,60.0,41.0,30.0,83.01,31.0
2019-11,,60.0,41.0,30.0,83.0,31.0
2019-12,,60.0,0.0,30.01,83.0,31.08
2020-01,,60.0,,30.0,83.0,
2020-02,,60.0,,30.0,83.07,31.0
2020-03,,60.0,,30.0,83.0,31.0
2020-04,,60.0,41.0,30.0,83.005,
2020-05,,60.0,41.0,30.0,83.01,31.0
2020-06,,61.0,41.0,,83.0,31.08
2020-07,,60.0,41.0,,83.0,
2020-08,,60.0,41.0,,83.0,
2020-09,,60.0,41.0,,83.0,
2020-10,,60.0,41.0,,83.005,
2020-11,,60.0,,,83.0,
2020-12,,61.0,,,83.0,
2021-01,,60.0,,,,
2021-02,,60.0,,,83.0,
2021-03,,60.0,,,83.002,
2021-04,,60.0,,,83.0,
2021-05,,60.0,,,83.0,
2021-06,,53.79,,,58.16,
2021-07,,43.271,,,58.756,
2021-08,,39.88,,,48.33,
2021-09,,60.27,,,48.05,
2021-10,,46.06,,,47.39,
2021-11,,64.57,,,47.75,
2021-12,,63.79,48.42,,45.52,
2022-01,,63.623,51.864,,47.57,
2022-02,,63.33,53.05,,47.01,
2022-03,,63.796,53.175,,45.069,
2022-04,,64.688,50.354,,46.596,
2022-05,,59.143,,,56.862,
2022-06,,63.96,53.15,,87.93,
2022-07,,63.391,55.48,,82.965,
2022-08,,66.634,51.562,,82.52,
2022-09,,63.623,51.864,,47.57,
2022-10,,64.197,51.588,,85.982,
2022-11,,64.468,51.154,,85.683,
2022-12,,54.6,41.933,,63.034,
2023-01,,63.074,52.003,,81.596,
2023-02,,63.185,50.769,,80.864,
2023-03,,62.772,49.922,,80.22,
2023-04,,60.525,50.056,,80.378,
2023-05,,66.513,50.0,,80.276,
2023-06,,56.218,50.034,,79.996,
2023-07,,56.0,49.909,,79.808,
2023-08,,58.889,50.08,,78.789,
2023-09,,62.776,52.999,,80.0,
2023-10,,63.904,54.0,,80.035,
2023-11,,63.424,50.208,,80.089,
2023-12,,63.0,49.931,,80.0,
2024-01,,63.601,47.919,,79.396,
2024-02,,63.0,50.081,,78.057,
2024-03,,62.954,50.238,,78.338,
2024-04,,62.743,49.648,,76.539,
2024-05,,62.039,49.207,,76.515,
2024-06,,62.129,45.09,,75.573,
2024-07,,63.601,47.919,,79.396,
2024-08,,60.0,40.0,,77.0,
2024-09,,58.895,40.006,,77.0,
2024-10,,58.305,39.794,,76.978,
2024-11,,58.392,40.722,,76.978,
2024-12,,58.406,40.749,,76.978,
2025-01,,58.0,,,76.978,
2025-02,,58.0,,,76.978,
2025-03,,58.0,,,76.978,
2025-04,,58.0,,,75.307,
2025-05,,58.0,33.065,,76.161,
2025-06,,58.0,33.0,,77.13,
2025-07,,58.392,35.79,,77.312,
2025-08,,59.331,30.15,,74.59,
2025-09,,58.0,33.0,,77.0,
2025-10,,57.409,32.468,,76.172,
2025-11,,57.944,32.976,,75.476,
2025-12,39.0,57.946,33.389,,75.461,
2026-01,37.742,57.484,32.734,,75.0,
2026-02,39.0,57.0,33.0,,69.366,
2026-03,37.672,57.0,33.0,,74.567,
2026-04,37.584,56.737,32.913,,76.551,
2026-05,34.823,57.0,38.327,,80.0,
2026-06,36.00,57.00,49.934,,75.808,
