Bulan,Sumur_04_Dalam_IPA,Sumur_06_Luar_IPA,Sumur_07_Luar_IPA,Sumur_10_Luar_IPA,Sumur_14_Dalam_IPA,Sumur_15_Luar_IPA,Sumur_16_Luar_IPA,Sumur_17_Luar_IPA,Sumur_18_Dalam_IPA
2015-01,7.9,,18.36,,17.0,19.44,,,
2015-02,11.1,,18.0,,19.46,,,,
2015-03,,,18.05,,17.55,18.73,,,
2015-04,,,18.0,,11.85,18.09,,,
2015-05,,,15.34,,14.56,14.8,,,20.59
2015-06,,,13.76,,12.88,13.51,,,19.98
2015-07,,,13.71,,14.94,13.55,,,19.95
2015-08,16.34,,,21.17,9.63,9.66,,,20.17
2015-09,10.34,,18.23,17.77,9.71,12.58,,10.63,21.14
2015-10,9.21,,18.36,17.22,7.82,9.7,,12.91,22.06
2015-11,8.47,,17.84,16.96,19.06,9.74,,14.1,23.3
2015-12,7.9,,17.89,13.34,18.4,,,11.22,23.56
2016-01,8.34,,18.5,12.11,18.16,9.89,,11.24,23.58
2016-02,8.6,,17.54,11.96,17.3,,,12.01,19.06
2016-03,8.3,,14.5,12.2,17.0,,22.0,11.9,20.3
2016-04,9.5,,14.76,10.3,20.5,,24.2,11.9,15.65
2016-05,7.0,,13.0,13.5,20.5,,,,14.96
2016-06,7.65,,13.69,18.2,,,24.5,9.7,
2016-07,8.3,,12.96,23.24,16.9,,24.82,9.8,16.3
2016-08,9.1,,18.3,26.55,18.54,,27.32,5.3,15.44
2016-09,8.99,,18.35,25.87,18.88,,26.3,7.6,15.65
2016-10,9.5,,14.76,24.3,20.5,,24.2,8.9,15.65
2016-11,7.2,,18.4,23.4,,,27.0,5.3,14.4
2016-12,7.19,,18.3,20.45,16.2,,26.5,5.4,14.2
2017-01,7.1,,17.5,17.12,19.2,,24.4,5.1,4.1
2017-02,6.87,,16.5,,18.7,,24.4,5.1,4.1
2017-03,7.1,,17.5,,21.6,,24.4,5.1,29.0
2017-04,7.03,,17.4,,21.42,,24.4,5.0,28.0
2017-05,6.9,,17.76,,20.14,,23.69,4.72,21.22
2017-06,7.2,,14.58,,18.63,,24.1,0.0,20.45
2017-07,7.03,,16.85,,19.57,,22.56,0.0,25.78
2017-08,6.45,,17.65,,19.0,,26.24,0.0,28.36
2017-09,6.74,,16.45,,16.5,,22.45,0.0,27.0
2017-10,6.52,,15.48,,15.25,,24.12,0.0,26.89
2017-11,7.23,,17.5,,18.0,,24.4,0.0,20.0
2017-12,7.1,,17.5,,18.0,,18.5,0.0,20.5
2018-01,7.08,,17.2,,18.5,,18.5,,20.4
2018-02,7.1,,17.0,,18.0,,18.0,0.0,20.5
2018-03,7.1,,17.75,,18.5,,18.0,,20.0
2018-04,7.1,,18.0,,18.5,,20.0,,20.0
2018-05,7.0,,17.5,,18.0,,18.0,,20.0
2018-06,7.1,,17.5,,18.0,,18.0,,20.0
2018-07,5.2,,18.0,,16.0,,19.5,,18.5
2018-08,3.6,,18.0,,14.0,,18.0,0.0,20.0
2018-09,7.1,,17.75,,18.5,,18.0,,20.0
2018-10,3.8,,18.0,,14.0,,18.0,,20.0
2018-11,3.7,,17.5,,14.0,,18.0,,20.0
2018-12,3.6,,18.0,,14.0,,18.0,,20.0
2019-01,3.6,,18.0,,14.0,,18.0,,20.0
2019-02,3.6,,18.0,,14.0,,18.0,,20.0
2019-03,3.6,,18.0,,14.0,,18.0,,20.0
2019-04,3.6,,18.0,,14.0,,18.0,,20.0
2019-05,3.7,,18.0,,14.0,,14.0,,20.0
2019-06,3.6,,14.0,,14.0,,14.0,,14.0
2019-07,,,,,,,,,
2019-08,,,,,,,,,
2019-09,,,,,,,,,
2019-10,,,,,,,,,
2019-11,,,,,,,,,
2019-12,,,,,,,,,
2020-01,,,,,,,,,
2020-02,,,,,,,,,
2020-03,,,,,,,,,
2020-04,,,,,,,,,
2020-05,,,,,,,,,
2020-06,,,,,,,,,
2020-07,,,,,,,,,
2020-08,,,,,,,,,
2020-09,,,,,,,,,
2020-10,,,,,,,,,
2020-11,,,,,,,,,
2020-12,,,,,,,,,
2021-01,,,,,,,,,
2021-02,,,,,,,,,
2021-03,,,,,,,,,
2021-04,,,,,,,,,
2021-05,,,,,,,,,
2021-06,,,,,,,,,
2021-07,,,,,,,,,
2021-08,,,,,,,,,
2021-09,,,,,,,,,
2021-10,,,,,,,,,
2021-11,,,,,,,,,
2021-12,,,,,,,,,
2022-01,,,,,,,,,
2022-02,,,,,,,,,
2022-03,,,,,,,,,
2022-04,,,,,,,,,
2022-05,,,,,,,,,
2022-06,,,,,,,,,
2022-07,,,,,,,,,
2022-08,,,,,,,,,
2022-09,,,,,,,,,
2022-10,,,,,,,,,
2022-11,,,,,,,,,
2022-12,,,,,,,,,
2023-01,,,,,,,,,
2023-02,,,,,,,,,
2023-03,,,,,,,,,
2023-04,,,,,,,,,
2023-05,,,,,,,,,
2023-06,,,,,,,,,
2023-07,,,,,,,,,
2023-08,,,,,,,,,
2023-09,,,,,,,,,
2023-10,,,,,,,,,
2023-11,,,,,,,,,
2023-12,,,,,,,,,
2024-01,,,,,,,,,
2024-02,,,,,,,,,
2024-03,,,,,,,,,
2024-04,,,,,,,,,
2024-05,,,,,,,,,
2024-06,,,,,,,,,
2024-07,,,,,,,,,
2024-08,,,,,,,,,
2024-09,,,,,,,,,
2024-10,,,,,,,,,
2024-11,,,,,,,,,
2024-12,,,,,,,,,
2025-01,,,,,,,,,
2025-02,,,,,,,,,
2025-03,,,,,,,,,
2025-04,,,,,,,,,
2025-05,,,,,,,,,
2025-06,,,,,,,,,
2025-07,,,,,,,,,
2025-08,,,,,,,,,
2025-09,,,,,,,,,
2025-10,,,,,,,,,
2025-11,,,,,,,,,
2025-12,,,,,,,,,
2026-01,,,,,,,,,
2026-02,,,,,,,,,
2026-03,,,,,,,,,
2026-04,,,,,,,,,
2026-05,,,,,,,,,
2026-06,,,,,,,,,
