Bulan,Sumur_1_Dalam_IPA_Statis,Sumur_1_Dalam_IPA_Dinamis,Sumur_2_SMA_3_Statis,Sumur_2_SMA_3_Dinamis,Sumur_3_Kantor_LPM_Statis,Sumur_3_Kantor_LPM_Dinamis
2016-01,,,,,,
2016-02,,,,,,
2016-03,,,,,,
2016-04,,,,,,
2016-05,,,,,,
2016-06,,,,,,
2016-07,,,,,,
2016-08,,,,,,
2016-09,,,,,,
2016-10,,,,,,
2016-11,,,,,,
2016-12,,,,,,
2017-01,,,,,,
2017-02,,,,,,
2017-03,,,,,,
2017-04,,,,,,
2017-05,,,,,,
2017-06,,,,,,
2017-07,,,,,,
2017-08,,,,,,
2017-09,,,,,,
2017-10,,,,,,
2017-11,,,,,,
2017-12,,,,,,
2018-01,35,39,,,,
2018-02,35,39,,,,
2018-03,35,39,37,,,
2018-04,35,39,37,,,
2018-05,35,39,37,,,
2018-06,35,39,37,,,
2018-07,35,39,37,,,
2018-08,35,39,37,,,
2018-09,35,39,37,,,
2018-10,35,39,37,,,
2018-11,35,39,37,,,
2018-12,35,39,37,,,
2019-01,35,39,37,,,
2019-02,35,39,37,,,
2019-03,35,39,37,,,
2019-04,35,39,37,,,
2019-05,35,39,37,,,
2019-06,35,39,37,,,
2019-07,35,39,37,,,
2019-08,35,39,37,,,
2019-09,35,39,37,,,
2019-10,35,39,37,,,
2019-11,35,39,37,,,
2019-12,35,39,37,,,
2020-01,35,39,37,,,
2020-02,35,39,37,,,
2020-03,35,39,37,,,
2020-04,35,39,37,,,
2020-05,35,39,37,,,
2020-06,35,39,37,,,
2020-07,35,39,37,,,
2020-08,35,39,37,,,
2020-09,35,39,37,,,
2020-10,43,,37,,,
2020-11,43,,37,,,
2020-12,43,,37,,,
2021-01,43,48,37,,,
2021-02,43,48,37,,,
2021-03,43,48,37,,,
2021-04,43,48,37,,,
2021-05,43,48,37,,,
2021-06,43,48,37,,,
2021-07,43,54,37,,,
2021-08,43,54,37,,,
2021-09,43,54,37,,,
2021-10,43,54,37,,,
2021-11,43,54,37,,,
2021-12,43,54,37,,,
2022-01,43,54,37,,,
2022-02,43,54,37,,,
2022-03,43,54,37,,,
2022-04,43,54,37,,,
2022-05,43,54,37,,,
2022-06,43,54,37,,,
2022-07,43,54,37,,,
2022-08,43,54,37,,,
2022-09,43,54,37,,,
2022-10,43,54,37,,,
2022-11,43,54,37,,,
2022-12,43,54,37,,,
2023-01,43,54,37,,,
2023-02,43,54,37,,,
2023-03,43,54,37,,,
2023-04,43,54,37,,,
2023-05,43,54,37,,,
2023-06,43,54,37,,,
2023-07,43,54,37,,,
2023-08,43,54,37,,,
2023-09,43,54,37,,,
2023-10,43,54,37,,,
2023-11,43,54,37,,,
2023-12,43,54,37,,,
2024-01,43,54,37,,,
2024-02,43,54,37,,,
2024-03,43,54,37,,,
2024-04,43,54,37,,,
2024-05,43,54,37,,,
2024-06,43,54,37,,,
2024-07,43,54,37,,,
2024-08,43,54,37,,,
2024-09,43,54,37,,,
2024-10,43,54,37,,,
2024-11,43,54,37,,,
2024-12,43,54,37,,,
2025-01,43,54,37,,,
2025-02,43,54,37,,,
2025-03,43,54,37,,,
2025-04,43,54,37,,,
2025-05,43,54,37,,,
2025-06,43,54,37,,,
2025-07,43,54,37,,,
2025-08,43,54,37,,,
2025-09,43,54,37,,,
2025-10,43,54,37,,,
2025-11,43,54,37,,,
2025-12,43,54,37,,,
2026-01,43,54,37,,13,30
2026-02,43,54,37,,13,30
2026-03,43,54,37,,13,30
2026-04,43,54,37,,13,30
2026-05,43,54,37,,13,30
2026-06,43,54,37,,13,30
