Bulan,Sumur_1_Puskesmas_Statis,Sumur_1_Puskesmas_Dinamis,Sumur_2_Dalam_IPA_Statis,Sumur_2_Dalam_IPA_Dinamis,Sumur_3_Jl_Pahala_Statis,Sumur_3_Jl_Pahala_Dinamis
2016-01,,17.83,,35.88,,
2016-02,,18,,35,,
2016-03,,17.56,,36,,
2016-04,15,18.23,38,42,,
2016-05,15,19,38,43,,
2016-06,15,19,38,43,,
2016-07,15,19,38,43,,
2016-08,15,19,38,39,,
2016-09,15,19,38,39,,
2016-10,15,19,38,39,,
2016-11,15,19,38,39,,
2016-12,15,19,38,39,,
2017-01,15,19,38,39,,
2017-02,15,19,38,39,,
2017-03,15,19,38,39,,
2017-04,15,19,38,39,,
2017-05,15,19,38,39,,
2017-06,15,19,38,39,,
2017-07,15,19,38,39,,
2017-08,15,19,38,39,,
2017-09,15,19,38,39,,
2017-10,15,19,38,39,,
2017-11,15,19,38,39,,
2017-12,15,19,38,39,,
2018-01,15,19,38,39,,
2018-02,15,19,38,39,,
2018-03,15,19,38,39,,
2018-04,15,19,38,39,,
2018-05,15,19,38,39,,
2018-06,15,19,38,39,,
2018-07,15,19,38,39,,
2018-08,15,19,38,39,,
2018-09,15,19,38,39,,
2018-10,15,19,38,39,,
2018-11,15,19,38,39,,
2018-12,15,19,38,39,,
2019-01,15,19,38,39,,
2019-02,15,19,38,39,,
2019-03,15,19,38,39,,
2019-04,15,19,38,39,,
2019-05,15,19,38,39,,
2019-06,15,19,38,39,,
2019-07,15,19,38,39,,
2019-08,15,19,38,39,,
2019-09,15,19,38,39,,
2019-10,15,19,38,39,30,34
2019-11,15,19,38,39,30,34
2019-12,15,19,38,39,30,34
2020-01,15,19,38,39,30,34
2020-02,15,19,38,39,30,34
2020-03,15,19,38,39,30,34
2020-04,15,19,38,39,30,34
2020-05,15,19,38,39,30,34
2020-06,15,19,38,39,30,34
2020-07,15,19,38,39,30,34
2020-08,15,19,38,39,30,34
2020-09,15,19,38,39,30,34
2020-10,15,19,38,39,30,34
2020-11,15,19,38,39,30,34
2020-12,15,19,15,39,30,34
2021-01,15,19,15,39,30,34
2021-02,15,19,15,39,30,34
2021-03,15,19,15,39,30,34
2021-04,15,19,15,39,30,34
2021-05,15,19,15,39,30,34
2021-06,15,19,15,39,30,34
2021-07,15,19,15,39,30,34
2021-08,15,19,15,39,30,34
2021-09,15,19,15,39,30,34
2021-10,15,19,15,35,30,34
2021-11,15,19,15,35,30,34
2021-12,15,19,15,35,30,34
2022-01,15,19,15,35,30,34
2022-02,15,19,15,35,30,34
2022-03,15,19,15,35,30,34
2022-04,15,19,15,35,30,34
2022-05,15,19,15,35,30,34
2022-06,15,19,15,35,30,34
2022-07,15,19,15,35,30,34
2022-08,15,19,15,39,30,34
2022-09,15,19,15,39,30,34
2022-10,15,19,15,35,30,34
2022-11,15,19,15,35,30,34
2022-12,15,19,15,35,30,34
2023-01,15,19,15,35,30,34
2023-02,15,19,15,35,30,34
2023-03,15,19,15,35,30,34
2023-04,15,19,15,35,30,34
2023-05,15,19,15,35,30,34
2023-06,15,19,15,35,30,34
2023-07,15,19,15,35,30,34
2023-08,15,19,15,35,30,34
2023-09,15,19,15,35,30,34
2023-10,15,19,15,35,30,34
2023-11,15,19,15,35,30,34
2023-12,15,19,15,35,30,34
2024-01,15,19,15,35,30,34
2024-02,15,19,15,35,30,34
2024-03,15,19,15,35,30,34
2024-04,15,19,15,35,30,34
2024-05,15,19,15,35,30,34
2024-06,15,19,15,35,30,34
2024-07,15,19,15,35,30,34
2024-08,15,19,15,35,30,34
2024-09,15,19,15,35,30,34
2024-10,15,19,15,35,30,34
2024-11,15,19,15,35,30,34
2024-12,15,19,15,35,30,34
2025-01,15,19,15,35,30,34
2025-02,15,19,15,35,30,34
2025-03,15,19,15,35,30,34
2025-04,15,19,15,35,30,34
2025-05,15,19,15,35,30,34
2025-06,15,19,15,35,30,34
2025-07,15,19,15,35,30,34
2025-08,15,19,15,35,30,34
2025-09,15,19,15,35,30,34
2025-10,15,19,15,35,30,34
2025-11,15,19,15,35,30,34
2025-12,15,19,15,35,30,34
2026-01,15,19,15,35,30,34
2026-02,15,19,15,35,30,34
2026-03,15,19,15,35,30,34
2026-04,15,19,15,35,30,34
2026-05,15,19,15,35,30,34
2026-06,15,19,15,35,30,34
