Bulan,Sumur_1_Dalam_IPA_Statis,Sumur_1_Dalam_IPA_Dinamis,Sumur_2_Jl_Belibis_V_Statis,Sumur_2_Jl_Belibis_V_Dinamis,Sumur_3_Koperasi_PTMB_Statis,Sumur_3_Koperasi_PTMB_Dinamis
2016-01,,21.22,,,,
2016-02,,22.5,,,,
2016-03,,24.21,,,,
2016-04,,21,,,,
2016-05,,22,,,,
2016-06,,22,,,,
2016-07,,22,,,,
2016-08,,53,,,,
2016-09,,53,,,,
2016-10,,53,,,,
2016-11,,55,,,,
2016-12,,55,,,,
2017-01,,,,55,,
2017-02,,,24,55,,
2017-03,,,23,55,,
2017-04,,,23,65,,
2017-05,,,23,65,,
2017-06,,,23,65,,
2017-07,23,65,,,,
2017-08,23,65,,,,
2017-09,,53,,,,
2017-10,,53,,,,
2017-11,,53,,,,
2017-12,,53,,,,
2018-01,,,,53,,
2018-02,,,,53,,
2018-03,,,,53,,
2018-04,,,,53,,
2018-05,,,,53,,
2018-06,,,,53,,
2018-07,,,,53,,
2018-08,,,,53,,
2018-09,,,23,53,,
2018-10,,,23,53,,
2018-11,,,23,53,,
2018-12,,,23,53,,
2019-01,,,23,53,,
2019-02,,,23,53,,
2019-03,,,23,53,,
2019-04,,,23,53,,
2019-05,,,23,53,,
2019-06,,,23,53,,
2019-07,,,23,53,,
2019-08,,,23,53,6,
2019-09,,,23,53,6,
2019-10,,,23,53,6,
2019-11,,,23,53,6,
2019-12,,,23,53,6,
2020-01,,,23,53,6,
2020-02,,,23,53,6,
2020-03,,,23,53,6,
2020-04,,,23,53,6,
2020-05,,,23,53,6,
2020-06,,,23,53,6,
2020-07,,,23,53,6,
2020-08,,,23,54,6,24
2020-09,,,23,54,6,24
2020-10,,,23,54,6,24
2020-11,,,23,54,6,24
2020-12,,,23,54,6,24
2021-01,,,23,54,6,24
2021-02,,,23,54,6,24
2021-03,,,23,54,6,24
2021-04,,,23,54,6,24
2021-05,,,23,54,6,24
2021-06,,,23,54,6,24
2021-07,,,23,54,6,24
2021-08,,,23,54,6,24
2021-09,,,23,54,6,24
2021-10,,,23,67,6,24
2021-11,,,23,67,6,24
2021-12,,,23,67,6,24
2022-01,,,23,67,6,24
2022-02,,,23,67,6,24
2022-03,,,23,67,6,24
2022-04,,,23,67,6,24
2022-05,,,23,67,6,24
2022-06,,,23,67,6,24
2022-07,,,23,67,6,24
2022-08,,,23,54,6,24
2022-09,,,23,54,6,24
2022-10,,,23,67,6,24
2022-11,,,23,67,6,24
2022-12,,,23,67,6,24
2023-01,,,23,67,6,24
2023-02,,,23,67,6,24
2023-03,,,23,67,6,24
2023-04,,,23,67,6,24
2023-05,,,23,67,6,24
2023-06,,,23,67,6,24
2023-07,,,23,67,6,24
2023-08,,,23,67,6,24
2023-09,,,23,67,6,24
2023-10,,,23,67,6,24
2023-11,,,23,67,6,24
2023-12,,,23,67,6,24
2024-01,,,23,67,6,24
2024-02,,,23,67,6,24
2024-03,,,23,67,6,24
2024-04,,,23,67,6,24
2024-05,,,23,67,6,24
2024-06,,,23,67,6,24
2024-07,,,23,67,6,24
2024-08,,,23,67,6,24
2024-09,,,23,67,6,24
2024-10,,,23,67,6,24
2024-11,,,23,67,6,24
2024-12,,,23,67,6,24
2025-01,,,23,67,6,24
2025-02,,,23,67,6,24
2025-03,,,23,67,6,24
2025-04,,,23,67,6,24
2025-05,,,23,67,6,24
2025-06,,,23,67,6,24
2025-07,,,23,67,6,24
2025-08,,,23,67,6,24
2025-09,,,23,67,6,24
2025-10,,,23,67,6,24
2025-11,,,23,67,6,24
2025-12,,,23,67,6,24
2026-01,,,23,67,6,24
2026-02,,,23,67,6,24
2026-03,,,23,67,6,24
2026-04,,,23,67,6,24
2026-05,,,23,67,6,24
2026-06,,,23,67,6,24
