Bulan,Teritip,Kampung_Damai,Batu_Ampar,Km_12,Gunung_Tembak
2015-07,43883.0,880642.0,1360385.0,41758.0,18151.0
2015-08,0.0,1079717.0,1315885.0,40365.0,0.0
2015-09,0.0,1138163.0,1290914.0,40187.0,0.0
2015-10,0.0,1206367.0,1299822.0,42696.0,0.0
2015-11,0.0,1159200.0,1247401.0,40844.0,0.0
2015-12,0.0,1205301.0,1286212.0,40844.0,6008.0
2016-01,0.0,1224436.0,1248396.0,42615.0,14530.0
2016-02,0.0,892721.0,821764.0,38935.0,6126.0
2016-03,1242.0,765825.0,677834.0,39549.0,22095.0
2016-04,27031.0,936265.0,1066208.0,36791.0,11352.0
2016-05,56066.0,1091150.0,1015728.0,43117.0,10157.0
2016-06,56601.0,1074415.0,1160508.0,42846.0,11489.0
2016-07,22631.0,1136722.0,1109894.0,42764.0,11772.0
2016-08,41785.0,1156226.0,1227166.0,43246.0,11390.0
2016-09,28682.0,1112671.0,1189854.0,41943.0,10528.0
2016-10,54156.0,1113878.0,1210435.0,41943.0,12153.0
2016-11,54156.0,1103721.0,1237834.0,39370.0,11889.0
2016-12,77511.0,1188495.0,1373569.0,42050.0,12063.0
2017-01,52293.0,1212740.0,1390444.0,42381.0,11249.0
2017-02,55975.0,1045497.0,1230133.0,38360.0,11140.0
2017-03,41236.0,1085519.0,1386849.0,42227.0,11719.0
2017-04,74593.0,1068823.0,1350494.0,39682.0,11146.0
2017-05,68343.0,1186073.0,1349803.0,41514.0,11644.0
2017-06,64761.2,1169494.2,1350445.0,38787.0,12816.2
2017-07,40955.0,1093351.0,1347622.0,40407.0,12709.0
2017-08,47370.6,1149700.0,1332192.0,41152.0,12204.6
2017-09,67441.0,1043699.0,1245865.0,38876.0,11824.0
2017-10,46305.0,1124378.0,1297016.0,42003.0,12089.0
2017-11,10328.0,1096984.0,1260131.0,40922.0,12735.0
2017-12,48906.0,1126969.0,1276813.0,39340.0,13284.0
2018-01,61440.0,1122067.0,1296853.0,37452.0,13356.0
2018-02,72016.0,1025450.0,1161808.0,36445.0,11889.0
2018-03,100679.0,1172574.0,1341389.0,40866.0,13167.0
2018-04,84364.0,1100323.0,1306823.0,39270.0,12798.0
2018-05,83501.0,1148228.0,1351219.0,72923.0,13239.0
2018-06,80954.0,1055900.0,1300122.0,97169.0,12960.0
2018-07,47522.0,1162989.0,1347906.0,100284.0,13320.0
2018-08,55177.0,1241933.0,1289261.0,101122.0,9016.0
2018-09,45822.0,1203763.0,1339961.0,103352.0,10024.0
2018-10,95505.0,1144529.0,1369868.0,103352.0,9058.0
2018-11,97342.0,1147531.0,1317909.0,103352.0,9856.0
2018-12,102880.0,1157543.0,1331078.0,108268.0,14128.0
2019-01,88083.0,1165450.0,1345417.0,102970.0,13284.0
2019-02,57852.0,1038593.0,1204388.0,99793.0,6706.0
2019-03,72599.0,1108356.0,1281875.0,109094.0,8092.0
2019-04,83049.0,1282189.0,1291790.0,119733.0,10052.0
2019-05,92128.0,1288977.0,1333286.0,126562.0,10318.0
2019-06,100805.0,1234310.0,1281279.0,114816.0,9764.0
2019-07,162562.0,1231913.0,1312074.0,107912.0,9688.0
2019-08,139077.0,996603.0,1086013.0,89638.0,4032.0
2019-09,160947.0,1277793.0,1345100.0,113857.0,154.0
2019-10,104681.0,1179141.0,1291542.0,113857.0,6566.0
2019-11,180072.0,1283083.0,1324218.0,97424.0,10416.0
2019-12,174594.0,1273496.0,1203282.0,100572.0,5306.0
2020-01,187414.0,1279838.0,1300968.0,98404.0,10402.0
2020-02,179268.0,1265121.0,1310313.0,121471.0,10409.0
2020-03,191416.0,1209884.0,1233397.0,104905.0,1561.0
2020-04,201236.0,1349865.0,1364758.0,124545.0,0.0
2020-05,246954.0,1300344.0,1313733.0,143874.0,0.0
2020-06,400514.0,1339021.0,1344122.0,139650.0,0.0
2020-07,391480.0,1190467.0,1183753.0,130382.0,
2020-08,427406.0,1263532.0,1299675.0,133221.0,
2020-09,420736.0,1299970.0,1308151.0,128927.0,
2020-10,384545.0,1170788.0,1238428.0,136033.0,
2020-11,399128.0,1288264.0,1311263.0,147867.0,
2020-12,352461.0,1242821.0,1265474.0,185108.0,
2021-01,381497.0,1333513.0,1355847.0,165268.0,
2021-02,399956.0,1310546.0,1375971.0,179615.0,
2021-03,354997.0,1231148.0,1247255.0,183637.0,
2021-04,382885.0,1344979.0,1373006.0,168655.0,
2021-05,369576.0,1331382.0,1331053.0,159964.0,
2021-06,411550.0,1325626.0,1322437.0,164858.0,
2021-07,376272.0,1272357.0,1308653.0,154947.0,
2021-08,383305.0,1280705.0,1317182.0,150474.0,
2021-09,372858.0,1301138.0,1346677.0,193040.0,
2021-10,357518.0,1271312.0,1292675.0,104510.0,
2021-11,376258.0,1253995.0,1351414.0,138153.0,
2021-12,362720.0,1205902.0,1275775.0,193040.0,
2022-01,405599.0,1190039.0,1301376.0,119993.0,
2022-02,454654.0,1238952.0,1294348.0,213013.0,
2022-03,397822.0,1129601.0,1182332.0,151296.0,
2022-04,506749.0,1290321.0,1318947.0,136928.0,
2022-05,474447.0,1245002.0,1267525.0,137022.0,
2022-06,490290.0,1152394.0,1279671.0,164857.0,
2022-07,471957.0,1264253.0,1318010.0,224644.0,
2022-08,479713.0,1295933.0,1383490.0,187742.0,
2022-09,493506.0,1224415.0,1360584.0,179568.0,
2022-10,635831.0,1180938.0,1335180.0,169604.0,
2022-11,505259.0,1288207.0,1377476.0,178584.0,
2022-12,500679.0,1143117.0,1240906.0,181942.0,
2023-01,527884.0,1139418.0,1253108.0,189527.0,
2023-02,517196.0,1090769.0,1268148.0,192792.0,
2023-03,478292.0,1187046.0,1206891.0,168603.0,
2023-04,523153.0,1350026.0,1361722.0,185933.0,
2023-05,492259.0,1287223.0,1339975.0,177298.0,
2023-06,479058.0,1332289.0,1385962.0,195006.0,
2023-07,480031.0,1212033.0,1236953.0,202710.0,
2023-08,493812.0,1264079.0,1363634.0,218090.0,
2023-09,476459.0,1323964.0,1375811.0,119993.0,
2023-10,332002.0,1085692.0,1208633.0,211172.0,
2023-11,365220.0,1076476.0,1164020.0,210952.0,
2023-12,299399.0,1087814.0,1164637.0,203308.0,
2024-01,368760.0,1147358.0,1256763.0,206451.0,
2024-02,388178.0,1093137.0,1201944.0,202905.0,
2024-03,354798.0,1076749.0,1149614.0,199278.0,
2024-04,395908.0,1136431.0,1288212.0,204050.0,
2024-05,312299.0,972513.0,1301455.0,204050.0,
2024-06,475925.0,1179183.0,1345081.0,198789.0,
2024-07,454730.0,1054575.0,1323456.0,194473.0,
2024-08,471371.0,1023956.0,1254046.0,204289.0,
2024-09,467072.0,980684.0,1290262.0,224998.0,
2024-10,435646.0,974791.0,1275775.0,227439.0,
2024-11,616131.0,1033681.0,1299436.0,231624.0,
2024-12,446671.0,1107687.0,1347829.0,217211.0,
2025-01,462001.0,1239114.0,1425611.0,201111.0,
2025-02,472859.0,1251719.0,1319220.0,198476.0,
2025-03,454575.0,1181162.0,1284476.0,198476.0,
2025-04,502252.0,1319332.0,1430668.0,201425.0,
2025-05,534311.0,1232500.0,1370804.0,204487.0,
2025-06,612512.0,1459753.0,1613138.0,237585.0,
2025-07,522973.0,1222101.0,1390474.0,207289.0,
2025-08,530882.0,1173012.0,1390950.0,208551.0,
2025-09,513154.0,1110377.0,1438994.0,195824.0,
2025-10,535954.0,1136976.0,1395310.0,198575.0,
2025-11,514598.0,1095613.0,1309207.0,182493.0,
2025-12,512282.0,1188593.0,1366575.0,189680.0,
2026-01,513359.0,1273215.0,1372466.0,199914.0,
2026-02,513359.0,1186173.0,1192696.0,178985.0,
2026-03,514764.0,1366672.0,1375227.0,207435.08,
2026-04,491026.0,1148939.9,1289358.2,210407.9,
2026-05,513359.0,1225018.4,1339213.98,264511.99,12625.0
2026-06,512012.0,1142612.0,1260251.0,233159.0,9494.0
